movie,word
Phantom Thread,beautiful
Phantom Thread,subtle
Phantom Thread,interesting
Phantom Thread,gorgeous
Phantom Thread,long
Phantom Thread,incredible
Phantom Thread,romantic
Phantom Thread,strange
Phantom Thread,creative
Phantom Thread,artistic
Dunkirk,intense
Dunkirk,real
Dunkirk,different
Dunkirk,realistic
Dunkirk,loud
Dunkirk,incredible
Dunkirk,visual
Dunkirk,favorite
Dunkirk,awesome
Dunkirk,excited
Get Out,scary
Get Out,funny
Get Out,crazy
Get Out,creepy
Get Out,weird
Get Out,uncomfortable
Get Out,hilarious
Get Out,psychological
Get Out,nervous
Get Out,cool
Three Billboards,dark 
Three Billboards,funny
Three Billboards,black
Three Billboards,serious
Three Billboards,hilarious
Three Billboards,great
Three Billboards,good
Three Billboards,comedic
Three Billboards,fantastic
Three Billboards,unpredictable
Lady Bird,real
Lady Bird,relatable
Lady Bird,realistic
Lady Bird,fresh
Lady Bird,emotional
Lady Bird,indie
Lady Bird,different
Lady Bird,cool
Lady Bird,enjoyable
Lady Bird,good
Darkest Hour,historical
Darkest Hour,political
Darkest Hour,famous
Darkest Hour,accurate
Darkest Hour,iconic
Darkest Hour,visual
Darkest Hour,surprised
Darkest Hour,recognizable
Darkest Hour,enormous
Darkest Hour,awesome
Call Me by Your Name,beautiful
Call Me by Your Name,romantic
Call Me by Your Name,long
Call Me by Your Name,real
Call Me by Your Name,emotional
Call Me by Your Name,gorgeous
Call Me by Your Name,sexual
Call Me by Your Name,slow
Call Me by Your Name,sad
Call Me by Your Name,perfect
The Post,important
The Post,relevant
The Post,tough
The Post,exciting
The Post,timely
The Post,familiar
The Post,future
The Post,incredible
The Post,brilliant
The Post,surprised
The Shape of Water,beautiful
The Shape of Water,weird
The Shape of Water,sensitive
The Shape of Water,fantasy
The Shape of Water,visual
The Shape of Water,cool
The Shape of Water,unique
The Shape of Water,love
The Shape of Water,classic
The Shape of Water,intelligent
